City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,norman wells,65.282,-126.8329,77.04,44,100,4.61,CA,1690006685
134,new norfolk,-42.7826,147.0587,56.7,94,96,2.37,AU,1690006685
135,busselton,-33.65,115.3333,59.83,71,14,6.96,AU,1690006685
136,mugur-aksy,50.35,90.5,66.78,43,94,4.47,RU,1690006687
137,airai,-8.9266,125.4092,69.71,50,21,4.36,TL,1690006688
138,fukue,32.6881,128.8419,84.56,84,75,11.5,JP,1690006688
139,kochubey,44.3861,46.5825,87.96,40,22,7.18,RU,1690006689
140,yangjiang,21.85,111.9667,87.94,69,100,7.49,CN,1690006690
141,leningradskiy,69.3833,178.4167,49.98,86,90,4.54,RU,1690006690
142,pizarro,4.9533,-77.366,79.72,87,100,3.51,CO,1690006691
143,borogontsy,62.6683,131.1683,70.81,40,41,9.78,RU,1690006691
144,kenai,60.5544,-151.2583,68.09,77,100,4.61,US,1690006559
145,aykhal,66.0,111.5,80.04,37,58,18.21,RU,1690006692
146,eureka,40.8021,-124.1637,58.19,94,12,5.99,US,1690006692
147,ahipara,-35.1667,173.1667,54.82,87,98,7.92,NZ,1690006693
148,huadian,42.9633,126.7478,85.3,65,97,4.43,CN,1690006693
149,koriyama,37.4,140.3833,86.13,65,75,5.75,JP,1690006682
150,sitka,57.0531,-135.33,60.69,77,100,4.61,US,1690006695
151,khorixas,-20.3667,14.9667,60.3,17,0,4.34,NA,1690006695
152,cidreira,-30.1811,-50.2056,61.79,94,66,11.77,BR,1690006695
153,abnub,27.2696,31.1511,91.02,19,2,13.47,EG,1690006695
154,iqaluit,63.7506,-68.5145,40.73,100,75,0.0,CA,1690006696
155,kempten,47.7267,10.3139,59.29,92,26,1.07,DE,1690006544
156,ucluelet,48.9329,-125.5528,61.09,90,52,1.88,CA,1690006696
157,talcahuano,-36.7167,-73.1167,49.68,100,0,3.44,CL,1690006697
158,tuban,-6.8976,112.0649,86.97,52,9,9.66,ID,1690006698
159,ribeira grande,38.5167,-28.7,67.77,88,40,8.01,PT,1690006698
160,ipixuna,-1.7625,-48.8043,70.2,78,8,3.2,BR,1690006699
161,baruun-urt,46.6806,113.2792,76.69,40,9,13.4,MN,1690006699
162,smithers,54.7804,-127.1743,57.52,94,75,0.0,CA,1690006699
163,tam ky,15.5667,108.4833,87.71,64,33,8.63,VN,1690006700
164,taoudenni,22.6783,-3.9836,92.82,15,15,3.4,ML,1690006700
165,nelson bay,-32.7167,152.15,62.01,70,71,11.01,AU,1690006700
166,cape town,-33.9258,18.4232,54.37,62,0,5.75,ZA,1690006701
167,yeppoon,-23.1333,150.7333,80.38,55,5,10.8,AU,1690006701
168,usinsk,65.9939,57.5281,63.54,91,100,2.84,RU,1690006701
169,thompson,55.7435,-97.8558,60.96,94,75,3.44,CA,1690006701
170,winnemucca,40.973,-117.7357,69.85,21,0,0.0,US,1690006702
171,guerrero negro,27.9769,-114.0611,67.23,82,47,13.22,MX,1690006702
172,suntar,62.1444,117.6319,83.1,45,91,5.88,RU,1690006702
